entry_time,exit_time,type,entry_price,exit_price,profit_points,profit_dollars,exit_reason,strength,rr_ratio,duration_bars
2021-06-10 12:45:00,2021-06-14 01:00:00,BUY,1890.858,1868.7225709999998,-22.13542900000016,-2213.542900000016,SL touché,36.167665234520584,1.800000000000002,137
2021-06-16 14:00:00,2021-06-16 17:45:00,SELL,1856.078,1862.486039,-6.408038999999917,-640.8038999999917,SL touché,10.288692072816652,1.7999999999999858,15
2021-06-28 13:00:00,2021-06-29 07:30:00,BUY,1780.038,1772.3649810000002,-7.67301899999984,-767.301899999984,SL touché,11.597251312245689,1.799999999999994,70
2021-07-01 12:30:00,2021-07-01 15:00:00,BUY,1776.128,1771.479936,-4.648063999999977,-464.80639999999767,SL touché,7.95751906617577,1.7999999999999805,10
2021-07-01 15:15:00,2021-07-02 08:15:00,SELL,1768.968,1783.562484,-14.594483999999966,-1459.4483999999966,SL touché,20.096933882216987,1.7999999999999938,64
2021-07-08 14:45:00,2021-07-14 12:00:00,SELL,1801.438,1819.188719,-17.75071899999989,-1775.071899999989,SL touché,16.50398683936576,1.8000000000000052,357
2021-07-23 01:30:00,2021-07-23 07:45:00,SELL,1804.765,1809.3503825,-4.585382499999923,-458.53824999999233,SL touché,19.111620886698823,1.8000000000000198,25
2021-07-23 08:00:00,2021-07-23 10:00:00,BUY,1808.108,1800.313946,-7.79405399999996,-779.405399999996,SL touché,7.86597716253511,1.8000000000000058,8
2021-07-28 18:30:00,2021-07-29 07:00:00,BUY,1801.498,1819.4633482000002,17.965348200000108,1796.5348200000108,TP atteint,7.987000609446483,1.8,46
2021-08-02 16:00:00,2021-08-05 13:30:00,BUY,1815.778,1804.7301109999999,-11.047889000000168,-1104.7889000000168,SL touché,9.43849933555429,1.8,266
2021-08-05 13:45:00,2021-08-06 12:30:00,SELL,1803.648,1782.0447167999996,21.603283200000305,2160.3283200000305,TP atteint,8.831596593565045,1.8,87
2021-08-10 06:45:00,2021-08-10 08:30:00,SELL,1736.458,1731.8351878000005,4.622812199999544,462.2812199999544,TP atteint,7.887083570793138,1.8,7
2021-08-10 08:45:00,2021-08-10 14:00:00,SELL,1731.508,1717.9796428000004,13.528357199999618,1352.8357199999618,TP atteint,7.887083570793138,1.8,21
2021-08-18 11:15:00,2021-08-23 12:30:00,SELL,1783.078,1794.5295389999999,-11.451538999999912,-1145.1538999999912,SL touché,9.00826116151412,1.800000000000004,281
2021-08-26 14:45:00,2021-08-27 16:00:00,BUY,1791.535,1814.0399814999998,22.504981499999758,2250.498149999976,TP atteint,11.826748442985753,1.7999999999999963,97
2021-08-27 16:15:00,2021-09-08 13:45:00,BUY,1814.348,1782.890826,-31.457173999999895,-3145.7173999999895,SL touché,30.219218002528976,1.8000000000000014,710
2021-09-13 06:00:00,2021-09-13 13:00:00,SELL,1791.148,1785.2159668,5.932033199999978,593.2033199999978,TP atteint,11.13194161799052,1.8,28
2021-09-14 12:45:00,2021-09-16 09:45:00,BUY,1797.054,1779.386473,-17.667527000000064,-1766.7527000000064,SL touché,18.82223848148935,1.8000000000000025,172
2021-09-17 09:45:00,2021-09-17 10:45:00,SELL,1766.108,1762.1623028000001,3.945697199999813,394.5697199999813,TP atteint,9.675035793399644,1.8000000000000207,4
2021-09-17 11:00:00,2021-09-17 14:15:00,SELL,1761.077,1748.0800307,12.996969300000046,1299.6969300000046,TP atteint,9.675035793399644,1.8000000000000127,13
2021-09-17 14:30:00,2021-09-21 12:00:00,SELL,1750.574,1768.292287,-17.71828699999992,-1771.8286999999918,SL touché,9.675035793399644,1.7999999999999974,174
2021-09-22 12:15:00,2021-09-22 18:00:00,BUY,1774.217,1780.9059953000005,6.6889953000004425,668.8995300000443,TP atteint,7.84121349073385,1.8,23
2021-09-22 18:15:00,2021-09-22 18:30:00,BUY,1784.104,1770.495948,-13.608052000000043,-1360.8052000000043,SL touché,7.84121349073385,1.8000000000000067,1
2021-09-23 08:15:00,2021-09-23 13:00:00,BUY,1769.277,1759.2793615,-9.997638499999994,-999.7638499999994,SL touché,9.051734317256894,1.7999999999999954,19
2021-09-24 11:00:00,2021-09-24 12:15:00,SELL,1754.357,1747.0180787000002,7.338921299999811,733.8921299999811,TP atteint,11.735874385373698,1.7999999999999776,5
2021-09-24 12:30:00,2021-09-27 01:15:00,SELL,1745.077,1758.4295385,-13.352538500000037,-1335.2538500000037,SL touché,11.735874385373698,1.8000000000000067,47
2021-10-07 06:00:00,2021-10-07 12:30:00,BUY,1760.158,1755.047921,-5.110078999999814,-511.0078999999814,SL touché,23.210714822942798,1.8,26
2021-10-12 07:45:00,2021-10-12 11:15:00,SELL,1756.668,1763.406334,-6.738334000000123,-673.8334000000123,SL touché,14.458347541171506,1.7999999999999932,14
2021-10-19 14:15:00,2021-10-20 12:30:00,SELL,1773.474,1785.924737,-12.450737000000117,-1245.0737000000117,SL touché,29.810117550330766,1.7999999999999963,85
2021-10-22 15:45:00,2021-11-05 16:15:00,SELL,1785.744,1814.640872,-28.89687200000003,-2889.687200000003,SL touché,7.470887885634106,1.7999999999999985,922
2021-11-10 13:30:00,2021-11-22 14:15:00,BUY,1851.058,1821.2424709999998,-29.815529000000197,-2981.5529000000197,SL touché,47.1997705558435,1.8000000000000016,739
2021-11-24 07:00:00,2021-11-24 08:30:00,SELL,1795.185,1791.5893334999998,3.5956665000001067,359.56665000001067,TP atteint,8.523531070666053,1.7999999999999545,6
2021-11-24 08:45:00,2021-11-24 14:00:00,SELL,1791.368,1780.9051687999995,10.462831200000437,1046.2831200000437,TP atteint,8.523531070666053,1.8000000000000078,21
2021-11-30 12:00:00,2021-11-30 14:45:00,SELL,1791.538,1799.3137689999999,-7.775768999999855,-777.5768999999855,SL touché,14.169150726543364,1.8,11
2021-12-03 13:30:00,2021-12-03 16:45:00,SELL,1773.24,1779.41662,-6.176619999999957,-617.6619999999957,SL touché,14.08934365940793,1.8,13
2021-12-07 13:15:00,2021-12-07 16:15:00,SELL,1778.068,1785.447034,-7.379034000000047,-737.9034000000047,SL touché,9.136059069246485,1.7999999999999876,12
